"","id","display_name","artists","artists_IDs","yr","danceability","energy","key","loudness","liveness","tempo","uri","url"
"1.38","2s7WJ9IRON5zalNbfFY1xa","Buleria","David Bisbal","5gOJTI4TusSENizxhcG7jB","2004",0.614,0.911,6,-4.359,0.126,124.786,"spotify:track:2s7WJ9IRON5zalNbfFY1xa","https://open.spotify.com/track/2s7WJ9IRON5zalNbfFY1xa"
"1.39","2wSAWEYUHkt92X4SBAPqZE","Karma Chameleon - Remastered","Culture Club","6kz53iCdBSqhQCZ21CoLcc","1983",0.668,0.73,10,-7.182,0.188,92.049,"spotify:track:2wSAWEYUHkt92X4SBAPqZE","https://open.spotify.com/track/2wSAWEYUHkt92X4SBAPqZE"
"1.40","3afv9TL8ixr4T9VbiKnrwe","American Pie","Madonna","6tbjWDEIzxoDsBA1FuhfPW","2000",0.634,0.674,5,-9.75,0.139,124.001,"spotify:track:3afv9TL8ixr4T9VbiKnrwe","https://open.spotify.com/track/3afv9TL8ixr4T9VbiKnrwe"
"1.41","3AoeaZs8dFemFJr3JdzOL0","You Are Not Alone","Michael Jackson","3fMbdgg4jU18AjLCKBhRSm","1995",0.651,0.402,11,-9.303,0.0764,119.878,"spotify:track:3AoeaZs8dFemFJr3JdzOL0","https://open.spotify.com/track/3AoeaZs8dFemFJr3JdzOL0"
"1.42","3EFb1qDgIqf9MegIryKtDj","Monday, Monday - Single Version","The Mamas & The Papas","1bs7HoMkSyQwcobCpE9KpN","1966",0.485,0.479,1,-9.439,0.55,109.882,"spotify:track:3EFb1qDgIqf9MegIryKtDj","https://open.spotify.com/track/3EFb1qDgIqf9MegIryKtDj"
"1.43","3EgZ941v78lgnizA1d18IT","Silencio","David Bisbal","5gOJTI4TusSENizxhcG7jB","2007",0.626,0.905,6,-3.97,0.08,128.918,"spotify:track:3EgZ941v78lgnizA1d18IT","https://open.spotify.com/track/3EgZ941v78lgnizA1d18IT"
"1.44","3f2k0XTc2ZXG17jEMDu8pp","Quiero Tener Tu Presencia","Seguridad Social","5UbMQUFrcJdDstPCza7y0B","1993",0.741,0.817,4,-5.596,0.0981,146.074,"spotify:track:3f2k0XTc2ZXG17jEMDu8pp","https://open.spotify.com/track/3f2k0XTc2ZXG17jEMDu8pp"
"1.45","3G69vJMWsX6ZohTykad2AU","One","U2","51Blml2LZPmy7TTiAg47vQ","1992",0.392,0.534,0,-8.793,0.155,181.305,"spotify:track:3G69vJMWsX6ZohTykad2AU","https://open.spotify.com/track/3G69vJMWsX6ZohTykad2AU"
"1.46","3JFFnk9XQ9PKNd6ueBc2RK","Malo","Bebe","2byU53ebtTxcAnIRE814Ts","2004",0.777,0.812,1,-6.18,0.145,108.159,"spotify:track:3JFFnk9XQ9PKNd6ueBc2RK","https://open.spotify.com/track/3JFFnk9XQ9PKNd6ueBc2RK"
"1.47","3JlTPjqnkNFSVdreyoh6kP","Anna (Ana)","Miguel Bosé","7mWCSSOYqm4E9mB7V4ot6S","1978",0.704,0.585,2,-11.844,0.0504,126.899,"spotify:track:3JlTPjqnkNFSVdreyoh6kP","https://open.spotify.com/track/3JlTPjqnkNFSVdreyoh6kP"
